Date,Close/Last,Volume,Open,High,Low
8/30/2022,157.16,"19,567,950.00",160.36,161.66,155.91
8/29/2022,159.17,"20,052,660.00",160.66,163.05,159.01
8/26/2022,161.78,"24,023,630.00",168.48,170.92,161.67
8/25/2022,168.78,"15,550,510.00",165.18,168.88,164.02
8/24/2022,163.26,"20,891,480.00",160.60,165.46,159.77
8/23/2022,161.11,"18,111,780.00",162.48,165.05,160.70
8/22/2022,163.05,"19,499,710.00",165.49,165.49,162.26
8/19/2022,167.96,"26,240,800.00",170.20,172.32,167.05
8/18/2022,174.66,"18,844,450.00",174.34,175.76,171.86
8/17/2022,174.85,"20,118,130.00",176.76,178.14,174.17
8/16/2022,179.47,"21,156,710.00",179.44,180.99,177.04
8/15/2022,180.89,"15,878,670.00",178.96,181.44,178.20
8/12/2022,180.50,"21,274,050.00",180.81,181.46,178.91
8/11/2022,177.49,"24,079,060.00",179.71,183.10,176.37
8/10/2022,178.34,"30,262,130.00",175.99,180.48,173.95
8/9/2022,168.53,"18,655,060.00",168.95,169.53,166.60
8/8/2022,170.25,"27,299,110.00",168.00,177.51,167.13
8/5/2022,167.11,"25,832,700.00",166.99,171.61,165.80
8/4/2022,170.57,"23,938,210.00",168.30,172.15,166.80
8/3/2022,168.80,"31,717,530.00",162.69,169.54,161.57
8/2/2022,160.19,"27,374,520.00",158.31,162.24,158.01
8/1/2022,159.93,"40,596,700.00",157.25,165.19,155.23
7/29/2022,159.10,"42,065,400.00",157.69,160.14,155.17
7/28/2022,160.72,"73,214,330.00",161.06,161.51,154.85
7/27/2022,169.58,"43,846,560.00",162.59,170.87,162.02
7/26/2022,159.15,"28,468,420.00",165.94,166.00,157.95
7/25/2022,166.65,"26,166,330.00",169.00,170.57,164.81
7/22/2022,169.27,"42,583,920.00",173.07,175.60,168.41
7/21/2022,183.17,"27,195,820.00",180.63,183.85,178.87
7/20/2022,183.09,"24,784,270.00",177.49,183.60,176.70
7/19/2022,175.78,"25,933,680.00",170.37,176.49,169.51
